"Enabled","Habilitado"
"Method Name","Nome do Método"
"Title","Título"
"Price","Preço"
"Calculate Handling Fee","Calcular a taxa de manuseio"
"Handling Fee","Taxa de Manuseio"
"Sort Order",""
"Ship to Applicable Countries","Envio para Países Aplicáveis"
"Ship to Specific Countries","Envio para Países Específicos"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Displayed Error Message","Mensagem de erro exibida"
"Zip Range and Minimun Price","Faixas de CEP e Valor Mínimo"
"Allowed Customer Group","Grupos de Clientes Permitidos"
"Digitaria Custom Shipping Method","Entrega Grátis por Faixa de CEP e Valor Mínimo"
"Digitaria Simple Shipping Method","Digitaria - Entrega Grátis por Faixa de CEP e Valor Mínimo"
