"Recover Email","Recuperar E-mail"
"Enter your Taxvat*","Insira o seu CPF ou CNPJ*"
"Search Email","Buscar E-mail"
"Loading...","Carregando..."
"Email not found for this taxvat","Nenhum cadastro foi encontrado para esse CPF ou CNPJ."
"An error occurred while processing the request. Please try again.","Ocorreu um erro ao processar sua solicitação. Por favor, tente novamente."
"The registered email for the taxvat is:&nbsp;","O e-mail de cadastro para o CPF/CNPJ digitado é:&nbsp;"
"Forgot Email","Não Lembro Meu E-mail"
"Recover Password","Esqueci Minha Senha"
"Please enter your email address below to receive a password reset link.","Por favor, digite seu endereço de e-mail abaixo para receber o link para redefinição de senha."
"Email Address","Digite seu e-mail"
"Go back","Fazer Login"
"Don't remember which email registered with the store? No problem, just enter your taxvat in the field below and if you have an account, the email used in the registration will be displayed.","Não lembra qual e-mail realizou o cadastro na loja? Sem problemas, basta digitar o seu CPF ou CNPJ no campo abaixo e caso você tenha uma conta, será exibido o e-mail utilizado no cadastro."
"Search Customer Email","Busca de E-mail de Cadastro"
"General Settings","Configurações Gerais"
"Enable Module","Ativar Módulo"
"Enable Mask","Ativar Máscara"
"Activates the taxvat mask in the field to search for emails.","Ativa a máscara de CPF/CNPJ no campo para buscar os e-mails."
"Page Content","Conteúdo da Página"
"Enter the content for the page.","Adicione o conteúdo da página."
