"Minimum value of the parcel if you do not want to leave 0","Caso não tenha um valor mínimo para sua parcelas, informe 0 (zero)."
"Transaction not authorized No Balance Cod: %s","Transação não autorizada Sem Saldo Cod: %s"
"Transaction not authorized Expired Card Cod: %s","Transação não autorizada Cartão Expirado Cod: %s"
"Transaction not authorized Card Locked Cod: %s","Transação não autorizada Cartão Bloqueado Cod: %s"
"Transaction not authorized Time Out Cod: %s","Transação não autorizada Tempo limite Cod: %s"
"Transaction not authorized Canceled Card Cod: %s","Transação não autorizada Cartão Cancelado Cod: %s"
"Transaction not authorized Credit Card Problems Cod: %s","Transação não autorizada Problemas com o Cartão de Crédito Cod: %s"
"Transaction not authorized Credit Card Problems","Transação não autorizada Problemas com o Cartão de Crédito"
"interest rate that will be applied to the","valor de juros que será aplicado na parcela"
"Interest","Juros"
"Interest from","Juros a partir de"
"Type of Interest","Tipo de Juros"
"Merchant ID","Merchant ID"
"Merchant Key","Merchant Key"
"others","outros"
"Canceled Card","Cartão Cancelado"
"Time Out","Tempo esgotado"
"Locked Card","Cartão Bloqueado"
"Expired Card","Cartão Expirado"
"Without credit","Sem Saldo"
"Due","Vencimento"
"Simple Interest","Juros Simples"
"Compound Interest","Juros Composto"
"Instruction","Informações"
"Credit Card Number","Número do cartão"
"Expiration Date","Data de vencimento"
"Credit Card CVV","Código de segurança (CVV)"
"Installments", "Parcelamento"
"Full Name","Nome do titular"
"Enabled","Habilitado"
"Title","Título"
"New Order Status","Status de novos pedidos"
"Sort Order","Ordem de exibição"
"All Allowed Countries","Todos os países disponíveis"
"Getnet Credit Card","Getnet Cartão de Crédito"
"Debit Card Number","Número do cartão de crédito"
"Credit Card Owner","Nome do titular do cartão"
"Expiration Date","Validade"
"Month","Mês"
"Year","Ano"
"Card Verification Number","Código de segurança"
"What is this?","O que é isso?"
"In cash %s","À vista %s"
"%dx of %s","%dx de %s"
"Please enter the Credit Card Owner.","Por favor, preencha o campo 'Nome do titular do cartão'."
